Complaint,Department
Door lock is broken in Block B.,Maintenance
Floor needs mopping in Block B.,Cleaning
Signal generator issue in Room 204.,ECE
Library AC not working in First Floor.,Library
Floor needs mopping in First Floor.,Cleaning
Reading room is noisy in Admin Block.,Library
General enquiry not resolved in Block B.,Others
Roof seepage issue in Room 101.,Maintenance
Reading room is noisy in Admin Block.,Library
Software installation required in Block B.,CSE
Switch board is damaged in First Floor.,Electrical
Library AC not working in Block A.,Library
Room lock is broken in Admin Block.,Hostel
Microcontroller kit not working in Admin Block.,ECE
Microcontroller kit not working in Admin Block.,ECE
Window glass is broken in Lab 1.,Maintenance
Hostel WiFi not working in Block A.,Hostel
Function generator faulty in Room 101.,ECE
Washroom needs cleaning in Room 204.,Cleaning
Tube light not working in Room 101.,Electrical
System is running very slow in Second Floor.,CSE
Internet not working in lab in Admin Block.,CSE
No water supply in hostel in Second Floor.,Hostel
Library computer not working in Block A.,Library
Mess food quality is poor in Room 204.,Hostel
Book return portal not working in Block B.,Library
Keyboard not working in Block A.,CSE
Switch board is damaged in Room 204.,Electrical
Signal generator issue in Room 101.,ECE
Loose electrical wiring in Second Floor.,Electrical
Mouse is not responding in Lab 1.,CSE
Library computer not working in Lab 1.,Library
Lab equipment is faulty in Admin Block.,ECE
Signal generator issue in First Floor.,ECE
Bad smell in corridor in Block B.,Cleaning
Water leaking from ceiling in Admin Block.,Maintenance
Breadboard is damaged in Block A.,ECE
Mouse is not responding in First Floor.,CSE
Fan is not working in Admin Block.,Electrical
Printer not working in Room 204.,CSE
Reading room is noisy in Room 204.,Library
Book issue system not working in Block A.,Library
Digital trainer board failed in Lab 1.,ECE
Room lock is broken in Second Floor.,Hostel
Fee payment portal not working in Lab 2.,Others
Monitor display is blank in Room 204.,CSE
Scholarship not received in Lab 2.,Others
Computer not starting in Lab 1.,CSE
Washroom needs cleaning in Block B.,Cleaning
Classroom is very dirty in Block A.,Cleaning
Fan is not working in Room 101.,Electrical
Fan not working in hostel room in Lab 2.,Hostel
Garbage not collected in Admin Block.,Cleaning
No water supply in hostel in Room 101.,Hostel
Printer not working in First Floor.,CSE
Scholarship not received in Second Floor.,Others
Digital trainer board failed in Block A.,ECE
Wall has cracks in Admin Block.,Maintenance
Mouse is not responding in Room 101.,CSE
Printer not working in Second Floor.,CSE
Hostel room needs cleaning in Block A.,Hostel
Monitor display is blank in Admin Block.,CSE
Required book is unavailable in Lab 2.,Library
Tube light not working in Room 101.,Electrical
Mouse is not responding in Lab 2.,CSE
Campus area is dirty in Lab 1.,Cleaning
Internet not working in lab in Second Floor.,CSE
Breadboard is damaged in Lab 2.,ECE
Library internet not working in First Floor.,Library
Reading room is noisy in Admin Block.,Library
Bad smell in corridor in Room 204.,Cleaning
Library AC not working in Block B.,Library
Campus area is dirty in Admin Block.,Cleaning
Mouse is not responding in First Floor.,CSE
Dustbins are overflowing in Second Floor.,Cleaning
Library internet not working in Lab 2.,Library
Hostel WiFi not working in Room 101.,Hostel
System is running very slow in Second Floor.,CSE
Staircase is dusty in Lab 2.,Cleaning
Book issue system not working in Second Floor.,Library
Library computer not working in Block B.,Library
Fan not working in hostel room in Second Floor.,Hostel
Campus area is dirty in Room 101.,Cleaning
General enquiry not resolved in First Floor.,Others
Window glass is broken in Admin Block.,Maintenance
Bonafide certificate delayed in Admin Block.,Others
Scholarship not received in Lab 2.,Others
Printer not working in Admin Block.,CSE
Insufficient seating in library in Lab 1.,Library
Library AC not working in Admin Block.,Library
Roof seepage issue in Room 204.,Maintenance
Window glass is broken in Room 101.,Maintenance
Oscilloscope not working in Admin Block.,ECE
Mess food quality is poor in Block A.,Hostel
Reading room is noisy in Room 101.,Library
Floor needs mopping in Lab 1.,Cleaning
Window glass is broken in First Floor.,Maintenance
Loose electrical wiring in Room 204.,Electrical
Hostel room needs cleaning in Block B.,Hostel
Roof seepage issue in Room 101.,Maintenance
Door lock is broken in Block B.,Maintenance
Door lock is broken in Room 204.,Maintenance
Fan is not working in Room 204.,Electrical
Mouse is not responding in Room 204.,CSE
Garbage not collected in Second Floor.,Cleaning
Mess food quality is poor in Block A.,Hostel
Drinking water cooler not working in Room 101.,Hostel
Library internet not working in Block A.,Library
Power socket not working in Admin Block.,Electrical
Door lock is broken in Admin Block.,Maintenance
Hostel room needs cleaning in Admin Block.,Hostel
Switch board is damaged in Admin Block.,Electrical
Broken classroom bench in Room 101.,Maintenance
Broken classroom bench in Lab 1.,Maintenance
ID card not issued in Room 204.,Others
Library computer not working in Block A.,Library
Internet not working in lab in Block A.,CSE
Classroom is very dirty in Lab 2.,Cleaning
Required book is unavailable in Room 204.,Library
Dustbins are overflowing in Block A.,Cleaning
Monitor display is blank in Block A.,CSE
Room lock is broken in Room 101.,Hostel
Reading room is noisy in Room 101.,Library
No water supply in hostel in Lab 1.,Hostel
Digital trainer board failed in Lab 2.,ECE
Bad smell in corridor in First Floor.,Cleaning
Floor needs mopping in Block B.,Cleaning
Reading room is noisy in First Floor.,Library
Library computer not working in Room 204.,Library
Book issue system not working in Block A.,Library
Staircase is dusty in Second Floor.,Cleaning
Lab equipment is faulty in Block B.,ECE
Bus pass issue in Block B.,Others
Tube light not working in Room 101.,Electrical
Water leaking from ceiling in Block B.,Maintenance
Room lock is broken in Room 101.,Hostel
Scholarship not received in Block A.,Others
Hostel room needs cleaning in Room 204.,Hostel
Library computer not working in Block B.,Library
Light is flickering in Admin Block.,Electrical
Function generator faulty in Block B.,ECE
Lab equipment is faulty in Admin Block.,ECE
Library internet not working in Block B.,Library
Signal generator issue in Block A.,ECE
Tube light not working in Admin Block.,Electrical
Bathroom is dirty in Block A.,Hostel
Internet not working in lab in First Floor.,CSE
Software installation required in Lab 2.,CSE
Power outage in classroom in First Floor.,Electrical
Loose electrical wiring in Lab 1.,Electrical
Tap is leaking in Second Floor.,Maintenance
Signal generator issue in Lab 2.,ECE
Broken classroom bench in Block A.,Maintenance
Required book is unavailable in Block B.,Library
Library internet not working in Admin Block.,Library
Light is flickering in Room 204.,Electrical
Book return portal not working in Second Floor.,Library
Loose electrical wiring in Admin Block.,Electrical
Required book is unavailable in Admin Block.,Library
Roof seepage issue in Lab 1.,Maintenance
Bathroom is dirty in Lab 1.,Hostel
Loose electrical wiring in Block B.,Electrical
Bad smell in corridor in First Floor.,Cleaning
Fan is not working in First Floor.,Electrical
Drinking water cooler not working in Second Floor.,Hostel
Digital trainer board failed in Second Floor.,ECE
Hostel WiFi not working in First Floor.,Hostel
Plumbing problem in Second Floor.,Maintenance
Scholarship not received in Block B.,Others
Room lock is broken in Room 204.,Hostel
Fee payment portal not working in First Floor.,Others
Digital trainer board failed in Room 101.,ECE
System is running very slow in Lab 2.,CSE
Monitor display is blank in Room 204.,CSE
Power socket not working in Room 101.,Electrical
Monitor display is blank in Second Floor.,CSE
Fee payment portal not working in First Floor.,Others
Floor needs mopping in Block B.,Cleaning
Hostel room needs cleaning in Admin Block.,Hostel
Floor needs mopping in Block B.,Cleaning
Library AC not working in Second Floor.,Library
Library AC not working in Room 101.,Library
Tube light not working in Admin Block.,Electrical
Floor needs mopping in Lab 1.,Cleaning
Monitor display is blank in Block A.,CSE
Internet not working in lab in Lab 2.,CSE
Breadboard is damaged in Lab 2.,ECE
Library computer not working in Second Floor.,Library
Switch board is damaged in First Floor.,Electrical
Website login problem in Admin Block.,Others
Garbage not collected in Lab 2.,Cleaning
ID card not issued in Block B.,Others
Floor needs mopping in Room 101.,Cleaning
Website login problem in First Floor.,Others
Library internet not working in Admin Block.,Library
Light is flickering in Lab 1.,Electrical
Campus area is dirty in Block A.,Cleaning
Loose electrical wiring in Block A.,Electrical
Water leaking from ceiling in Lab 1.,Maintenance
Door lock is broken in Room 204.,Maintenance
Computer not starting in Lab 2.,CSE
Website login problem in Lab 2.,Others
Lab equipment is faulty in First Floor.,ECE
Light is flickering in Lab 1.,Electrical
Book return portal not working in Block B.,Library
System is running very slow in Block A.,CSE
Reading room is noisy in Room 204.,Library
Tap is leaking in Lab 1.,Maintenance
Library AC not working in Room 101.,Library
Broken classroom bench in Admin Block.,Maintenance
Classroom is very dirty in Admin Block.,Cleaning
Plumbing problem in Room 204.,Maintenance
ID card not issued in Second Floor.,Others
Mouse is not responding in Admin Block.,CSE
Drinking water cooler not working in Admin Block.,Hostel
Tap is leaking in Second Floor.,Maintenance
Digital trainer board failed in First Floor.,ECE
Microcontroller kit not working in Block A.,ECE
Oscilloscope not working in Lab 2.,ECE
Arduino board not detected in Room 101.,ECE
Mouse is not responding in Admin Block.,CSE
Staircase is dusty in First Floor.,Cleaning
Tube light not working in Block B.,Electrical
Library internet not working in Lab 1.,Library
Arduino board not detected in Lab 1.,ECE
Lab equipment is faulty in Room 204.,ECE
Internet not working in lab in Lab 2.,CSE
Scholarship not received in Block A.,Others
Broken classroom bench in Admin Block.,Maintenance
Dustbins are overflowing in Admin Block.,Cleaning
Window glass is broken in Room 204.,Maintenance
Lab equipment is faulty in Block B.,ECE
Book issue system not working in Lab 1.,Library
Lab equipment is faulty in Lab 1.,ECE
Arduino board not detected in Lab 2.,ECE
Scholarship not received in First Floor.,Others
Computer not starting in Second Floor.,CSE
Keyboard not working in Room 101.,CSE
Bad smell in corridor in Block B.,Cleaning
Tap is leaking in Admin Block.,Maintenance
Plumbing problem in Room 101.,Maintenance
Bonafide certificate delayed in Block B.,Others
System is running very slow in Admin Block.,CSE
Bonafide certificate delayed in Lab 2.,Others
Window glass is broken in Room 204.,Maintenance
Staircase is dusty in Room 101.,Cleaning
Floor needs mopping in Room 204.,Cleaning
Internet not working in lab in Second Floor.,CSE
Bad smell in corridor in Room 204.,Cleaning
Roof seepage issue in Second Floor.,Maintenance
Light is flickering in Second Floor.,Electrical
Bathroom is dirty in Lab 2.,Hostel
Keyboard not working in Block B.,CSE
Classroom is very dirty in Block B.,Cleaning
Generator backup failed in Admin Block.,Electrical
Hostel WiFi not working in Second Floor.,Hostel
Campus area is dirty in Room 204.,Cleaning
Campus area is dirty in Room 101.,Cleaning
Keyboard not working in Room 204.,CSE
ID card not issued in Admin Block.,Others
Digital trainer board failed in Lab 2.,ECE
Switch board is damaged in Block B.,Electrical
Website login problem in Block A.,Others
Garbage not collected in Room 204.,Cleaning
Microcontroller kit not working in Lab 1.,ECE
Power socket not working in Lab 2.,Electrical
Oscilloscope not working in Block B.,ECE
Breadboard is damaged in Room 101.,ECE
Bonafide certificate delayed in Block B.,Others
Fan is not working in Block B.,Electrical
Power outage in classroom in Block B.,Electrical
Bad smell in corridor in Block A.,Cleaning
Light is flickering in Block A.,Electrical
Insufficient seating in library in Room 204.,Library
Tube light not working in Admin Block.,Electrical
Printer not working in Block A.,CSE
Floor needs mopping in Block A.,Cleaning
Power outage in classroom in Block A.,Electrical
